 206,정리하는 뇌,대니얼 J. 레비틴 외,19，800
 207,모순,양귀자,11，700
 208,마더텅 수능기출 모의고사 28회 국어 영역(2022)(2023 수능대비),마더텅 편집부,17，910
 209,2022 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가,윤종혁 외,20，610
 211,보그(2022년 11월호),두산매거진 편집부,7，130
 212,위풍당당 여우 꼬리 3: 핼러윈과 어둠 숨바꼭질,손원평 외,11，700
 213,슬로우 미러클 영어 그림책 느리게 100권 읽기의 힘,고광윤,26，820
 214,오투 중등 과학 2-2(2022),비상교육 편집부,16，650
 215,종이 동물원,켄 리우 외,14，220
 217,보그(2022년 11월호)(B형),두산매거진 편집부,7，130
 218,그림의 힘 2,김선현,17，820
 219,어린이 과학동아(2022년 10월15일자)(20호),동아사이언스 편집부,10，450
 220,김승옥문학상 수상작품집(2022),편혜영 외,9，000
 221,이코노미스트 홍춘욱 투자에도 순서가 있다,홍춘욱,16，200
 222,중학영문법 3800제 1학년(2023),마더텅 편집부,12，510
 223,채사장의 지대넓얕 4: 보이지 않는 손,채사장 외,13，500
 224,임신 출산 육아 대백과(2022~2023),삼성출판사 편집부,17，550
 225,어른의 문해력,김선영,12，600
 226,2022 청소년상담사 2급ㆍ3급 2차 면접대비,문두식,24，300
 227,작별인사(밤하늘 에디션),김영하,12，600
 228,2022 ADsP 데이터 분석 준전문가,윤종식,25，200
 229,쎈 중등 수학 2-2(2022),홍범준 외,14，400
 230,EBS 수능특강 영어영역 영어(2022)(2023 수능대비),EBS교육방송 편집부,8，100
 231,사랑해 사랑해 사랑해(출간 15주년 기념판),버나뎃 로제티 슈스탁 외,10，620
 232,테라피스트,B. A. 패리스 외,14，400
 233,Amazing Visual Math,Dorling Kindersley,14，000
 234,욕망의 진화,데이비드 버스 외,19，800
 235,인간 실격,다자이 오사무 외,8，100
 236,데미안,헤르만 헤세 외,7，200
 237,시크릿,론다 번 외,12，420
 238,공간의 미래,유현준,14，400
 239,EBS 수능특강 수학영역 수학1(2022)(2023 수능대비),EBS교육방송 편집부,5，040
 241,슬픔이 택배로 왔다,정호승,9，900
 242,대출의 마법,김은진,18，000
 243,삶이 글이 되는 순간,허지영,15，120
 244,현자의 돌 모의고사 시즌2 다지선다(3회분)(2022)(2023 수능대비),임수민,19，000
 245,나쁜 회사 재무제표,이대훈,17，100
 246,헤어질 결심 각본,정서경 외,13，500
 247,어느 날， 내 죽음에 네가 들어왔다,세이카 료겐 외,13，500
 251,세상 쉬운 영문법,윤여홍,17，820
 252,현자의 돌 모의고사 시즌3 생활과 윤리 수능 파이널+9평분석서(4회분)(2023),임수민,22，500
 253,올드패션 베이킹북,이수정,25，200
 254,흔한남매 수수께끼 어드벤처 1,노지영 외,12，600
 255,그리스 로마 신화 30: 기나긴 모험 그 끝의 이야기,박시연 외,13，500
 256,내가 알고 있는 걸 당신도 알게 된다면(리커버 에디션),칼 필레머 외,15，300
 257,재수사 2,장강명,14，400
